title,director,year,originalTitle
Grand Illusion,Jean Renoir,1937,
Seven Samurai,Akira Kurosawa,1954,
The Lady Vanishes,Alfred Hitchcock,1938,
Amarcord,Federico Fellini,1973,
The 400 Blows,François Truffaut,1959,
Beauty and the Beast,Jean Cocteau,1946,
A Night to Remember,Roy Ward Baker,1958,
The Killer,John Woo,1989,
Hard Boiled,John Woo,1992,
Walkabout,Nicolas Roeg,1971,
The Seventh Seal,Ingmar Bergman,1957,
This Is Spinal Tap,Rob Reiner,1984,
The Silence of the Lambs,Jonathan Demme,1991,
Samurai I: Musashi Miyamoto,Hiroshi Inagaki,1954,
Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,1955,
Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,1956,
"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,1976,
The Naked Kiss,Samuel Fuller,1964,
Shock Corridor,Samuel Fuller,1963,
Sid & Nancy,Alex Cox,1986,
Dead Ringers,David Cronenberg,1988,
Summertime,David Lean,1955,
RoboCop,Paul Verhoeven,1987,
High and Low,Akira Kurosawa,1963,
Alphaville,Jean-Luc Godard,1965,
The Long Good Friday,John Mackenzie,1979,
Flesh for Frankenstein,Paul Morrissey,1973,
Blood for Dracula,Paul Morrissey,1974,
Picnic at Hanging Rock,Peter Weir,1975,
M,Fritz Lang,1931,
Great Expectations,David Lean,1946,
Oliver Twist,David Lean,1948,
Nanook of the North,Robert Flaherty,1922,
Andrei Rublev,Andrei Tarkovsky,1966,
Diabolique,Henri-Georges Clouzot,1955,
The Wages of Fear,Henri-Georges Clouzot,1953,
Time Bandits,Terry Gilliam,1981,
Branded to Kill,Seijun Suzuki,1967,
Tokyo Drifter,Seijun Suzuki,1966,
Armageddon,Michael Bay,1998,
Henry V,Laurence Olivier,1944,
Fishing with John,John Lurie,1992,
Lord of the Flies,Peter Brook,1963,
The Red Shoes,Michael Powell and Emeric Pressburger,1948,
Taste of Cherry,Abbas Kiarostami,1997,
The Most Dangerous Game,Ernest B. Schoedsack…,1932,
Insomnia,Erik Skjoldbjærg,1997,
