title,POLT,ALT,PALT,ETT,AET,director,year,Display
نان و کوچه,Nān o kūcheh,,,The Bread and Alley,,Abbas Kiarostami,1970,"نان و کوچه [Nān o kūcheh] [The Bread and Alley] (Abbas Kiarostami, 1970)"
مسافر,Mosāfer,,,The Traveler,,Abbas Kiarostami,1974,"مسافر [Mosāfer] [The Traveler] (Abbas Kiarostami, 1974)"
دو راه حل برای يک مسئله,Dow rahehal baraye yek massaleh,,,Two Solutions for One Problem,,Abbas Kiarostami,1975,"دو راه حل برای يک مسئله [Dow rahehal baraye yek massaleh] [Two Solutions for One Problem] (Abbas Kiarostami, 1975)"
لباسی برای عروسی,Lebasi baraye arusi,,,The Wedding Suit,,Abbas Kiarostami,1976,"لباسی برای عروسی [Lebasi baraye arusi] [The Wedding Suit] (Abbas Kiarostami, 1976)"
گزارش,Gozaresh,,,The Report,,Abbas Kiarostami,1977,"گزارش [Gozaresh] [The Report] (Abbas Kiarostami, 1977)"
قضیه شکل اول... شکل دوم,Qazieh-e shekl-e avval... shekl-e dovvom,,,"First Case, Second Case",,Abbas Kiarostami,1979,"قضیه شکل اول... شکل دوم [Qazieh-e shekl-e avval... shekl-e dovvom] [First Case, Second Case] (Abbas Kiarostami, 1979)"
به ترتیب یا بدون ترتیب؟,Be tartib ya bedun-e tartib?,,,Orderly or Disorderly,,Abbas Kiarostami,1981,"به ترتیب یا بدون ترتیب؟ [Be tartib ya bedun-e tartib?] [Orderly or Disorderly] (Abbas Kiarostami, 1981)"
همشهری,Hamshahri,,,Fellow Citizen,,Abbas Kiarostami,1983,"همشهری [Hamshahri] [Fellow Citizen] (Abbas Kiarostami, 1983)"
خانه دوست کجاست,Khane-ye dust kojast,,,Where Is the Friend's Home?,,Abbas Kiarostami,1987,"خانه دوست کجاست [Khane-ye dust kojast] [Where Is the Friend's Home?] (Abbas Kiarostami, 1987)"
مشق شب,Masq-e sab,,,Homework,,Abbas Kiarostami,1989,"مشق شب [Masq-e sab] [Homework] (Abbas Kiarostami, 1989)"
"کلوزآپ ، نمای نزدیک","Kluzap, nema-ye nazdik",,,Close-Up,,Abbas Kiarostami,1990,"کلوزآپ ، نمای نزدیک [Kluzap, nema-ye nazdik] [Close-Up] (Abbas Kiarostami, 1990)"
زندگی و دیگر هیچ,Zendegi va digar hich,,,And Life Goes On…,"Life, and Nothing More",Abbas Kiarostami,1992,"زندگی و دیگر هیچ [Zendegi va digar hich] [And Life Goes On…] [Life, and Nothing More] (Abbas Kiarostami, 1992)"
زیر درختان زیتون,Zir-e derakhtan-e zeytin,,,Through the Olive Trees,,Abbas Kiarostami,1994,"زیر درختان زیتون [Zir-e derakhtan-e zeytin] [Through the Olive Trees] (Abbas Kiarostami, 1994)"
